species	longitude	latitude
Myrmecophaga tridactyla	-56.62066325	-20.14254751
Myrmecophaga tridactyla	-48.93787893	-18.87795303
Myrmecophaga tridactyla	-50.64989909	-18.92954562
Myrmecophaga tridactyla	-50.62803054	-18.95065462
Myrmecophaga tridactyla	-45.74650337	-20.11883216
Myrmecophaga tridactyla	-54.49272785	-16.60218245
Myrmecophaga tridactyla	-53.19298495	-17.33371805
Myrmecophaga tridactyla	-52.25733252	-17.66940635
Myrmecophaga tridactyla	-52.25670357	-17.66964243
Myrmecophaga tridactyla	-50.16313038	-19.14862671
Myrmecophaga tridactyla	-60.7117349	2.920868186
Myrmecophaga tridactyla	-45.86617299	-20.05551429
Myrmecophaga tridactyla	-48.98122268	-23.24640007
Myrmecophaga tridactyla	-56.42623166	-20.20710461
Myrmecophaga tridactyla	-51.55167684	-18.02778065
Myrmecophaga tridactyla	-47.75813948	-18.09033723
Myrmecophaga tridactyla	-49.89197563	-19.34731643
Myrmecophaga tridactyla	-47.15129	-20.53195667
Myrmecophaga tridactyla	-47.14071333	-20.52809167
Myrmecophaga tridactyla	-56.59429349	-20.15295885
Myrmecophaga tridactyla	-56.51606753	-20.41869357
Myrmecophaga tridactyla	-55.63184373	-20.51058657
Myrmecophaga tridactyla	-55.94810534	-20.48618257
Myrmecophaga tridactyla	-56.52034849	-20.18184377
Myrmecophaga tridactyla	-56.58668211	-20.15587002
Myrmecophaga tridactyla	-56.56531465	-20.16431544
Myrmecophaga tridactyla	-52.18432075	-15.34697919
Myrmecophaga tridactyla	-55.18702765	-15.53285674
Myrmecophaga tridactyla	-45.61139245	-19.51222447
Myrmecophaga tridactyla	-46.31109916	-20.26431301
Myrmecophaga tridactyla	-55.3471669	-20.50978775
Myrmecophaga tridactyla	-49.26183804	-18.89675612
Myrmecophaga tridactyla	-47.59742122	-18.93245508
Myrmecophaga tridactyla	-46.81311523	-18.8300358
Myrmecophaga tridactyla	-52.29988154	-14.82333249
Myrmecophaga tridactyla	-55.67629075	-20.50823495
Myrmecophaga tridactyla	-55.94645285	-20.48720602
Myrmecophaga tridactyla	-55.66677171	-20.50899357
Myrmecophaga tridactyla	-55.67567955	-20.50827951
Myrmecophaga tridactyla	-51.71858486	-20.74632837
Myrmecophaga tridactyla	-52.20100677	-15.4044924
Myrmecophaga tridactyla	-42.067759	-19.431103
Myrmecophaga tridactyla	-55.464605	-20.543782
Myrmecophaga tridactyla	-49.225516	-22.839702
Myrmecophaga tridactyla	-49.230276	-22.820314
Myrmecophaga tridactyla	-55.74618	-21.517189
Myrmecophaga tridactyla	-47.460808	-20.257273
Myrmecophaga tridactyla	-47.466577	-20.24037
Myrmecophaga tridactyla	-46.492599	-20.206707
Myrmecophaga tridactyla	-60.77828	2.84151
Myrmecophaga tridactyla	-49.230763	-22.796089
Myrmecophaga tridactyla	-49.242885	-22.795268
Myrmecophaga tridactyla	-49.205008	-22.808774
Myrmecophaga tridactyla	-49.184497	-22.819648
Myrmecophaga tridactyla	-49.236946	-22.7891
Myrmecophaga tridactyla	-53.204278	-17.299436
Myrmecophaga tridactyla	-54.628179	-20.568207
Myrmecophaga tridactyla	-52.18951	-20.6974
Myrmecophaga tridactyla	-52.41859	-20.60024
Myrmecophaga tridactyla	-53.43576	-20.46693
Myrmecophaga tridactyla	-46.488862	-20.209093
Myrmecophaga tridactyla	-46.489871	-20.21008
Myrmecophaga tridactyla	-46.495943	-20.187743
Myrmecophaga tridactyla	-46.487961	-20.185575
Myrmecophaga tridactyla	-46.485708	-20.188279
Myrmecophaga tridactyla	-46.492188	-20.204716
Myrmecophaga tridactyla	-46.495235	-20.209608
Myrmecophaga tridactyla	-46.493969	-20.208642
Myrmecophaga tridactyla	-46.494849	-20.208321
Myrmecophaga tridactyla	-46.487961	-20.196197
Myrmecophaga tridactyla	-46.493454	-20.203986
Myrmecophaga tridactyla	-46.496029	-20.206347
